sleeper_id,projection_url,player_data-player,player_data-opponent,player_data-company,player_data-team,player_data-player_id,player_data-updated_at,player_data-game_id,player_data-sport,player_data-season_type,player_data-season,player_data-week,player_data-last_modified,player_data-category,rush_yd,rush_td,rush_fd,rush_att,rush_2pt,rec_yd,rec_td,rec_fd,rec_5_9,rec_40p,rec_30_39,rec_20_29,rec_10_19,rec_0_4,rec,pts_std,pts_ppr,pts_half_ppr,gp,fum_lost,bonus_rec_rb,adp_std,adp_rookie,adp_ppr,adp_idp,adp_half_ppr,adp_dynasty_std,adp_dynasty_ppr,adp_dynasty_half_ppr,adp_dynasty_2qb,adp_dynasty,adp_2qb,bonus_rec_wr,bonus_rec_te,pass_yd,pass_td,pass_int,pass_fd,pass_cmp,pass_att,pass_2pt,cmp_pct,player_data-date
4234,https://api.sleeper.com/projections/nfl/player/4234?season_type=regular&season=2024,,NA,rotowire,HOU,4234,1721634611598,season,nfl,regular,2024,NA,1721634611598,proj,3,NA,0.3,1,NA,293,2,29.3,4.2,2.1,2.1,4.2,6.3,4.2,21,41.6,62.6,52.1,18,NA,NA,308.6,999,305.1,667.4,308.6,332,354,332,343.2,999,308.4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
827,https://api.sleeper.com/projections/nfl/player/827?season_type=regular&season=2024,,NA,rotowire,NYJ,827,1721634616804,season,nfl,regular,2024,NA,1721634616804,proj,21,NA,2.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,13.1,13.1,18,NA,NA,457.3,999,663.9,651.8,457.3,451.3,663.4,451.3,317.3,999,295.7,NA,NA,200,1,1,20,19,29,NA,65.52,NA
7049,https://api.sleeper.com/projections/nfl/player/7049?season_type=regular&season=2024,,NA,rotowire,SF,7049,1721634615086,season,nfl,regular,2024,NA,1721634615086,proj,6,NA,0.6,1,NA,278,2,27.8,4.4,2.2,2.2,4.4,6.6,4.4,22,40.4,62.4,51.4,18,NA,NA,434.4,999,518.7,663.2,434.4,383.2,572.1,383.2,327.4,999,296.5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3634,https://api.sleeper.com/projections/nfl/player/3634?season_type=regular&season=2024,,NA,rotowire,DET,3634,1721634611146,season,nfl,regular,2024,NA,1721634611146,proj,37,NA,3.7,6,NA,262,2,26.2,4.2,2.1,2.1,4.2,6.3,4.2,21,41.9,62.9,52.4,18,NA,NA,458.8,999,683.1,999,458.8,487.5,650.3,487.5,422.3,999,293.5,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7828,https://api.sleeper.com/projections/nfl/player/7828?season_type=regular&season=2024,,NA,rotowire,KC,7828,1721634616182,season,nfl,regular,2024,NA,1721634616182,proj,NA,NA,NA,NA,NA,256,2,25.6,4.8,2.4,2.4,4.8,7.2,4.8,24,37.6,61.6,49.6,18,NA,NA,454,999,638.4,556.5,454,364.9,369.1,364.9,335.4,999,298.8,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
8204,https://api.sleeper.com/projections/nfl/player/8204?season_type=regular&season=2024,,NA,rotowire,GB,8204,1721634616711,season,nfl,regular,2024,NA,1721634616711,proj,7,NA,0.7,1,NA,273,2,27.3,4.2,2.1,2.1,4.2,6.3,4.2,21,40,61,50.5,18,NA,NA,423.6,999,614.6,545.8,423.6,321.9,346,321.9,323.6,999,299.2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4029,https://api.sleeper.com/projections/nfl/player/4029?season_type=regular&season=2024,,NA,rotowire,NA,4029,1721634611340,season,nfl,regular,2024,NA,1721634611340,proj,278,2,27.8,66,NA,68,NA,6.8,1.8,0.9,0.9,1.8,2.7,1.8,9,46.6,55.6,51.1,18,NA,9,407.9,999,699.7,649.2,407.9,218.9,213.6,218.9,346,999,317.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4040,https://api.sleeper.com/projections/nfl/player/4040?season_type=regular&season=2024,,NA,rotowire,NE,4040,1721634611355,season,nfl,regular,2024,NA,1721634611355,proj,4,NA,0.4,1,NA,284,2,28.4,5.4,2.7,2.7,5.4,8.1,5.4,27,40.8,67.8,54.3,18,NA,NA,405.1,999,677,668.1,405.1,236.9,260.2,236.9,310.8,999,311.6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8147,https://api.sleeper.com/projections/nfl/player/8147?season_type=regular&season=2024,,NA,rotowire,HOU,8147,1721634616632,season,nfl,regular,2024,NA,1721634616632,proj,8,NA,0.8,1,NA,162,1,16.2,2.8,1.4,1.4,2.8,4.2,2.8,14,23,37,30,18,NA,NA,631.7,999,664.3,658.9,631.7,239.1,262.7,239.1,298.6,999,659.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2560,https://api.sleeper.com/projections/nfl/player/2560?season_type=regular&season=2024,,NA,rotowire,NA,2560,1721634610551,season,nfl,regular,2024,NA,1721634610551,proj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,310.9,999,999,999,310.9,999,999,999,433,999,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5246,https://api.sleeper.com/projections/nfl/player/5246?season_type=regular&season=2024,,NA,rotowire,NA,5246,1721634612783,season,nfl,regular,2024,NA,1721634612783,proj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,396,999,999,999,396,999,999,999,999,999,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1718,https://api.sleeper.com/projections/nfl/player/1718?season_type=regular&season=2024,,NA,rotowire,NA,1718,1721634610022,season,nfl,regular,2024,NA,1721634610022,proj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,999,999,999,999,292.5,999,999,999,999,999,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7703,https://api.sleeper.com/projections/nfl/player/7703?season_type=regular&season=2024,,NA,rotowire,PHI,7703,1721634615994,season,nfl,regular,2024,NA,1721634615994,proj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,305.7,999,999,999,305.7,999,999,999,999,999,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2755,https://api.sleeper.com/projections/nfl/player/2755?season_type=regular&season=2024,,NA,rotowire,IND,2755,1721634610610,season,nfl,regular,2024,NA,1721634610610,proj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,386,999,999,999,386,653,679,653,417,999,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
