sleeper_id,projection_url,player_data-date,adp_2qb,adp_dynasty,adp_dynasty_2qb,adp_dynasty_half_ppr,adp_dynasty_ppr,adp_dynasty_std,adp_half_ppr,adp_idp,adp_ppr,adp_rookie,adp_std,bonus_rec_rb,fum_lost,gp,pts_half_ppr,pts_ppr,pts_std,rec,rec_0_4,rec_10_19,rec_20_29,rec_30_39,rec_40p,rec_5_9,rec_fd,rec_td,rec_yd,rush_2pt,rush_att,rush_fd,rush_td,rush_yd,bonus_rec_wr,bonus_rec_te,cmp_pct,pass_2pt,pass_att,pass_cmp,pass_fd,pass_int,pass_td,pass_yd,def_kr_td,player_data-category,player_data-last_modified,player_data-week,player_data-season,player_data-season_type,player_data-sport,player_data-player_id,player_data-game_id,player_data-updated_at,player_data-team,player_data-company,player_data-opponent,player_data-player
5967,https://api.sleeper.com/projections/nfl/player/5967?season_type=regular&season=2024,NA,102.6,999,103.1,79.8,79.5,79.8,78.5,103.5,76.9,999,78.5,39,1,18,200.2,219.7,180.7,39,7.8,11.7,7.8,3.9,3.9,7.8,27.6,1,276,NA,259,107.1,7,1071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217645457,NA,2024,regular,nfl,5967,season,1733217645457,TEN,rotowire,NA,
5849,https://api.sleeper.com/projections/nfl/player/5849?season_type=regular&season=2024,NA,21.4,999,23.7,87.2,90.7,87.2,69.9,39.2,78.1,999,69.9,NA,3,18,316.52,316.52,316.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,57.2,5,572,NA,NA,64.55,1,536,346,383.3,12,23,3833,NA,proj,1733217645142,NA,2024,regular,nfl,5849,season,1733217645142,ARI,rotowire,NA,
2749,https://api.sleeper.com/projections/nfl/player/2749?season_type=regular&season=2024,NA,103.6,999,142.4,116.9,116.9,116.9,75.6,139.5,81.9,999,75.6,24,1,18,145.8,157.8,133.8,24,4.8,7.2,4.8,2.4,2.4,4.8,17.4,1,174,NA,164,76.4,6,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217639510,NA,2024,regular,nfl,2749,season,1733217639510,MIA,rotowire,NA,
8139,https://api.sleeper.com/projections/nfl/player/8139?season_type=regular&season=2024,NA,93.9,999,95.1,81.2,83,81.2,73.8,101,82.2,999,73.8,20,1,18,112.7,122.7,102.7,20,4,6,4,2,2,4,14.2,1,142,NA,146,60.5,4,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217651223,NA,2024,regular,nfl,8139,season,1733217651223,LV,rotowire,NA,
6804,https://api.sleeper.com/projections/nfl/player/6804?season_type=regular&season=2024,NA,25.6,999,17.3,70.2,65.3,70.2,82.5,27.4,80.4,999,82.5,NA,3,18,306,306,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,22.2,3,222,NA,NA,64.76,1,559,362,404.5,12,30,4045,NA,proj,1733217647542,NA,2024,regular,nfl,6804,season,1733217647542,GB,rotowire,NA,
4033,https://api.sleeper.com/projections/nfl/player/4033?season_type=regular&season=2024,NA,87.4,999,91.5,90.7,89.1,90.7,87.6,97.3,84,999,87.6,NA,1,18,132.1,165.1,99.1,66,13.2,19.8,13.2,6.6,6.6,13.2,71.1,5,711,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217640948,NA,2024,regular,nfl,4033,season,1733217640948,CLE,rotowire,NA,
8110,https://api.sleeper.com/projections/nfl/player/8110?season_type=regular&season=2024,NA,85,999,88,87.1,85.1,87.1,85.5,94.3,86.6,999,85.5,NA,1,18,133.1,167.1,99.1,68,13.6,20.4,13.6,6.8,6.8,13.6,71.1,5,711,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217651153,NA,2024,regular,nfl,8110,season,1733217651153,DAL,rotowire,NA,
11635,https://api.sleeper.com/projections/nfl/player/11635?season_type=regular&season=2024,NA,97.5,999,71.3,66.1,70,66.1,88,92.7,88.3,999,88,NA,NA,18,176.6,215.1,138.1,77,15.4,23.1,15.4,7.7,7.7,15.4,94.9,7,949,NA,1,1.2,NA,12,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217634776,NA,2024,regular,nfl,11635,season,1733217634776,LAC,rotowire,NA,
1426,https://api.sleeper.com/projections/nfl/player/1426?season_type=regular&season=2024,NA,114.5,999,148,135.5,126.5,135.5,101.6,151.5,96.9,999,101.6,NA,1,18,137.9,169.4,106.4,63,12.6,18.9,12.6,6.3,6.3,12.6,71.7,6,717,NA,2,0.7,NA,7,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217638083,NA,2024,regular,nfl,1426,season,1733217638083,KC,rotowire,NA,
7588,https://api.sleeper.com/projections/nfl/player/7588?season_type=regular&season=2024,NA,109.5,999,93.7,74.3,75.8,74.3,90.4,105.6,90.2,999,90.4,37,1,18,160.6,179.1,142.1,37,7.4,11.1,7.4,3.7,3.7,7.4,26.7,1,267,NA,202,81.4,5,814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217649668,NA,2024,regular,nfl,7588,season,1733217649668,DEN,rotowire,NA,
