sleeper_id,projection_url,player_data-date,adp_2qb,adp_dynasty,adp_dynasty_2qb,adp_dynasty_half_ppr,adp_dynasty_ppr,adp_dynasty_std,adp_half_ppr,adp_idp,adp_ppr,adp_rookie,adp_std,bonus_rec_rb,fum_lost,gp,pts_half_ppr,pts_ppr,pts_std,rec,rec_0_4,rec_10_19,rec_20_29,rec_30_39,rec_40p,rec_5_9,rec_fd,rec_td,rec_yd,rush_2pt,rush_att,rush_fd,rush_td,rush_yd,bonus_rec_wr,bonus_rec_te,cmp_pct,pass_2pt,pass_att,pass_cmp,pass_fd,pass_int,pass_td,pass_yd,def_kr_td,pr_td,player_data-category,player_data-last_modified,player_data-week,player_data-season,player_data-season_type,player_data-sport,player_data-game_id,player_data-player_id,player_data-updated_at,player_data-team,player_data-company,player_data-opponent,player_data-player
9220,https://api.sleeper.com/projections/nfl/player/9220?season_type=regular&season=2024,NA,313.9,999,261.8,264,297.7,264,289.3,527.7,308.3,999,289.3,13,NA,18,45.9,52.4,39.4,13,2.6,3.9,2.6,1.3,1.3,2.6,9.6,1,96,NA,42,17.8,1,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399475582,NA,2024,regular,nfl,season,9220,1724399475582,IND,rotowire,NA,
11615,https://api.sleeper.com/projections/nfl/player/11615?season_type=regular&season=2024,NA,351.1,999,268.4,267.7,299.4,267.7,691,540.9,539.2,999,691,NA,NA,18,26.2,31.7,20.7,11,2.2,3.3,2.2,1.1,1.1,2.2,14.1,1,141,NA,1,0.6,NA,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399463918,NA,2024,regular,nfl,season,11615,1724399463918,PHI,rotowire,NA,
6886,https://api.sleeper.com/projections/nfl/player/6886?season_type=regular&season=2024,NA,274.1,999,263.1,261.6,281.7,261.6,278.5,442.7,667.9,999,278.5,NA,NA,18,26.3,31.8,20.8,11,2.2,3.3,2.2,1.1,1.1,2.2,14.3,1,143,NA,1,0.5,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399472065,NA,2024,regular,nfl,season,6886,1724399472065,NA,rotowire,NA,
11633,https://api.sleeper.com/projections/nfl/player/11633?season_type=regular&season=2024,NA,687.8,999,273.5,307.7,309.9,307.7,581,551.5,607.8,999,581,NA,NA,18,26.2,31.7,20.7,11,2.2,3.3,2.2,1.1,1.1,2.2,14.1,1,141,NA,1,0.6,NA,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399463951,NA,2024,regular,nfl,season,11633,1724399463951,CLE,rotowire,NA,
11646,https://api.sleeper.com/projections/nfl/player/11646?season_type=regular&season=2024,NA,675.3,999,282.3,303,290.3,303,623.5,563.8,659.8,999,623.5,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399463972,NA,2024,regular,nfl,season,11646,1724399463972,CAR,rotowire,NA,
9227,https://api.sleeper.com/projections/nfl/player/9227?season_type=regular&season=2024,NA,358.9,999,276.5,276.1,310.4,276.1,999,559.4,312,999,999,2,NA,18,7,8,6,2,0.4,0.6,0.4,0.2,0.2,0.4,1.4,NA,14,NA,11,4.6,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399475595,NA,2024,regular,nfl,season,9227,1724399475595,NYJ,rotowire,NA,
11557,https://api.sleeper.com/projections/nfl/player/11557?season_type=regular&season=2024,NA,511.2,999,259.7,344,319.3,344,541.4,479.2,653.5,999,541.4,NA,1,18,10.3,10.3,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.7,NA,17,NA,NA,56.67,NA,30,17,19,1,1,190,NA,NA,proj,1724399463805,NA,2024,regular,nfl,season,11557,1724399463805,NE,rotowire,NA,
10226,https://api.sleeper.com/projections/nfl/player/10226?season_type=regular&season=2024,NA,295.2,999,263,251.2,284.9,251.2,657.9,487.8,599.5,999,657.9,NA,NA,18,80.2,97.7,62.7,35,7,10.5,7,3.5,3.5,7,43.7,3,437,NA,1,1,NA,10,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399462410,NA,2024,regular,nfl,season,10226,1724399462410,CIN,rotowire,NA,
8142,https://api.sleeper.com/projections/nfl/player/8142?season_type=regular&season=2024,NA,318.7,999,274,268.3,295.4,268.3,615.6,567.7,529.4,999,615.6,NA,NA,18,63.2,75.7,50.7,25,5,7.5,5,2.5,2.5,5,38.2,2,382,NA,1,0.5,NA,5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399474215,NA,2024,regular,nfl,season,8142,1724399474215,IND,rotowire,NA,
10444,https://api.sleeper.com/projections/nfl/player/10444?season_type=regular&season=2024,NA,299.2,999,272,312,308.2,312,657.1,598.3,650.3,999,657.1,NA,NA,18,52.9,63.9,41.9,22,4.4,6.6,4.4,2.2,2.2,4.4,29.4,2,294,NA,1,0.5,NA,5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399462456,NA,2024,regular,nfl,season,10444,1724399462456,CLE,rotowire,NA,
11571,https://api.sleeper.com/projections/nfl/player/11571?season_type=regular&season=2024,NA,690.7,999,275.5,259.8,301.5,259.8,685.1,553.4,558.8,999,685.1,4,NA,18,22.2,24.2,20.2,4,0.8,1.2,0.8,0.4,0.4,0.8,3.1,NA,31,NA,26,11.1,1,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399463832,NA,2024,regular,nfl,season,11571,1724399463832,NYJ,rotowire,NA,
7562,https://api.sleeper.com/projections/nfl/player/7562?season_type=regular&season=2024,NA,305.8,999,284.8,271,279.7,271,659.8,562.4,655.6,999,659.8,NA,NA,18,41.4,50.9,31.9,19,3.8,5.7,3.8,1.9,1.9,3.8,24.2,1,242,NA,3,1.7,NA,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399473214,NA,2024,regular,nfl,season,7562,1724399473214,LAR,rotowire,NA,
7606,https://api.sleeper.com/projections/nfl/player/7606?season_type=regular&season=2024,NA,310,999,286.7,277.7,306.9,277.7,571.2,561.5,296.3,999,571.2,NA,NA,18,35.1,42.1,28.1,14,2.8,4.2,2.8,1.4,1.4,2.8,17.2,1,172,NA,8,4.9,NA,49,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399473280,NA,2024,regular,nfl,season,7606,1724399473280,KC,rotowire,NA,
2306,https://api.sleeper.com/projections/nfl/player/2306?season_type=regular&season=2024,NA,260.3,999,279.7,670.8,651,670.8,697.7,503.4,492.1,999,697.7,NA,NA,18,30.26,30.26,30.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.9,NA,29,NA,NA,65.57,NA,61,40,43.4,2,3,434,NA,NA,proj,1724399466220,NA,2024,regular,nfl,season,2306,1724399466220,CLE,rotowire,NA,
19,https://api.sleeper.com/projections/nfl/player/19?season_type=regular&season=2024,NA,236.4,999,279.3,619.1,620.1,619.1,700.8,495.2,680.7,999,700.8,NA,NA,18,12.76,12.76,12.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.4,NA,4,NA,NA,63.64,NA,33,21,23.4,1,1,234,NA,NA,proj,1724399465936,NA,2024,regular,nfl,season,19,1724399465936,IND,rotowire,NA,
