sleeper_id,projection_url,player_data-date,adp_2qb,adp_dynasty,adp_dynasty_2qb,adp_dynasty_half_ppr,adp_dynasty_ppr,adp_dynasty_std,adp_half_ppr,adp_idp,adp_ppr,adp_rookie,adp_std,bonus_rec_rb,fum_lost,gp,pts_half_ppr,pts_ppr,pts_std,rec,rec_0_4,rec_10_19,rec_20_29,rec_30_39,rec_40p,rec_5_9,rec_fd,rec_td,rec_yd,rush_2pt,rush_att,rush_fd,rush_td,rush_yd,bonus_rec_wr,bonus_rec_te,cmp_pct,pass_2pt,pass_att,pass_cmp,pass_fd,pass_int,pass_td,pass_yd,def_kr_td,pr_td,player_data-category,player_data-last_modified,player_data-week,player_data-sport,player_data-season_type,player_data-season,player_data-game_id,player_data-updated_at,player_data-player_id,player_data-team,player_data-company,player_data-opponent,player_data-player
11573,https://api.sleeper.com/projections/nfl/player/11573?season_type=regular&season=2024,NA,320.2,999,240.7,208.7,209.1,208.7,298.4,357.1,304.9,999,298.4,7,NA,18,31.7,35.2,28.2,7,1.4,2.1,1.4,0.7,0.7,1.4,5.1,NA,51,NA,40,17.1,1,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048424,NA,nfl,regular,2024,season,1723449048424,11573,BUF,rotowire,NA,
10223,https://api.sleeper.com/projections/nfl/player/10223?season_type=regular&season=2024,NA,256.1,999,269.6,302.3,286.1,302.3,561.5,511.7,297.4,999,561.5,12,NA,18,50,56,44,12,2.4,3.6,2.4,1.2,1.2,2.4,9,NA,90,NA,56,23,2,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449047078,NA,nfl,regular,2024,season,1723449047078,10223,NYG,rotowire,NA,
8162,https://api.sleeper.com/projections/nfl/player/8162?season_type=regular&season=2024,NA,221,999,194,316,303.1,316,586.2,330.5,535.7,999,586.2,NA,1,18,36.18,36.18,36.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4.1,1,41,NA,NA,65.15,NA,66,43,45.2,2,3,452,NA,NA,proj,1723449058506,NA,nfl,regular,2024,season,1723449058506,8162,SEA,rotowire,NA,
11562,https://api.sleeper.com/projections/nfl/player/11562?season_type=regular&season=2024,NA,259.7,999,192.2,235.1,244.1,235.1,570.6,307,578.2,999,570.6,NA,NA,18,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,10,NA,NA,60,NA,15,9,10,NA,1,100,NA,NA,proj,1723449048406,NA,nfl,regular,2024,season,1723449048406,11562,NO,rotowire,NA,
11567,https://api.sleeper.com/projections/nfl/player/11567?season_type=regular&season=2024,NA,690.7,999,217.8,260.6,285.9,260.6,661.3,392.8,508.4,999,661.3,NA,NA,18,11.52,11.52,11.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,10,NA,NA,60.71,NA,28,17,18.8,1,1,188,NA,NA,proj,1723449048416,NA,nfl,regular,2024,season,1723449048416,11567,NYJ,rotowire,NA,
11592,https://api.sleeper.com/projections/nfl/player/11592?season_type=regular&season=2024,NA,267.7,999,222.9,226.2,249.9,226.2,557.9,349,647.9,999,557.9,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048457,NA,nfl,regular,2024,season,1723449048457,11592,CIN,rotowire,NA,
11599,https://api.sleeper.com/projections/nfl/player/11599?season_type=regular&season=2024,NA,273,999,224.2,218.8,215.9,218.8,517.6,355.5,700.8,999,517.6,NA,NA,18,29.4,36.9,21.9,15,3,4.5,3,1.5,1.5,3,15.9,1,159,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048470,NA,nfl,regular,2024,season,1723449048470,11599,HOU,rotowire,NA,
10225,https://api.sleeper.com/projections/nfl/player/10225?season_type=regular&season=2024,NA,275.4,999,233.5,223,245.7,223,276.7,446.8,298.2,999,276.7,NA,NA,18,83.7,102.7,64.7,38,7.6,11.4,7.6,3.8,3.8,7.6,45.5,3,455,NA,1,1.2,NA,12,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449047081,NA,nfl,regular,2024,season,1723449047081,10225,CAR,rotowire,NA,
11616,https://api.sleeper.com/projections/nfl/player/11616?season_type=regular&season=2024,NA,318.1,999,233.5,232,248,232,400.4,422.2,612.5,999,400.4,NA,NA,18,25.5,31,20,11,2.2,3.3,2.2,1.1,1.1,2.2,13.4,1,134,NA,1,0.6,NA,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048501,NA,nfl,regular,2024,season,1723449048501,11616,SF,rotowire,NA,
7610,https://api.sleeper.com/projections/nfl/player/7610?season_type=regular&season=2024,NA,309.9,999,232.6,313.2,339.6,313.2,512.1,408,699.1,999,512.1,NA,NA,18,12.7,12.7,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.9,NA,19,NA,NA,60.71,NA,28,17,19.5,1,1,195,NA,NA,proj,1723449057553,NA,nfl,regular,2024,season,1723449057553,7610,DAL,rotowire,NA,
11595,https://api.sleeper.com/projections/nfl/player/11595?season_type=regular&season=2024,NA,336.7,999,239.2,224.4,240.6,224.4,498.6,404.7,698.6,999,498.6,NA,NA,18,24.8,30.8,18.8,12,2.4,3.6,2.4,1.2,1.2,2.4,12.8,1,128,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048463,NA,nfl,regular,2024,season,1723449048463,11595,KC,rotowire,NA,
3257,https://api.sleeper.com/projections/nfl/player/3257?season_type=regular&season=2024,NA,203.8,999,245,680.7,645.5,680.7,296,391.4,643.7,999,296,NA,1,18,39.36,39.36,39.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.6,NA,26,NA,NA,63.54,NA,96,61,64.4,3,4,644,NA,NA,proj,1723449051242,NA,nfl,regular,2024,season,1723449051242,3257,NE,rotowire,NA,
5854,https://api.sleeper.com/projections/nfl/player/5854?season_type=regular&season=2024,NA,241.4,999,248.2,519.8,633.2,519.8,613.2,440.1,550.7,999,613.2,NA,1,18,27.22,27.22,27.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2.1,NA,21,NA,NA,61.29,NA,62,38,42.8,2,3,428,NA,NA,proj,1723449054675,NA,nfl,regular,2024,season,1723449054675,5854,NYG,rotowire,NA,
6111,https://api.sleeper.com/projections/nfl/player/6111?season_type=regular&season=2024,NA,260.2,999,253.8,653,674.7,653,510.8,449.1,669.9,999,510.8,NA,NA,18,19.12,19.12,19.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2.2,NA,22,NA,NA,63.89,NA,36,23,24.8,1,2,248,NA,NA,proj,1723449055133,NA,nfl,regular,2024,season,1723449055133,6111,CIN,rotowire,NA,
11652,https://api.sleeper.com/projections/nfl/player/11652?season_type=regular&season=2024,NA,299.1,999,254.1,222.3,243,222.3,291.9,428.1,683.7,999,291.9,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048554,NA,nfl,regular,2024,season,1723449048554,11652,KC,rotowire,NA,
11636,https://api.sleeper.com/projections/nfl/player/11636?season_type=regular&season=2024,NA,655.3,999,258.6,249.2,299.4,249.2,557.3,479.9,515.5,999,557.3,NA,NA,18,30.2,37.2,23.2,14,2.8,4.2,2.8,1.4,1.4,2.8,16.7,1,167,NA,1,0.5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048530,NA,nfl,regular,2024,season,1723449048530,11636,PHI,rotowire,NA,
11605,https://api.sleeper.com/projections/nfl/player/11605?season_type=regular&season=2024,NA,313.7,999,259.3,267.8,292.6,267.8,537.3,467.5,677.7,999,537.3,NA,NA,18,48.8,60.3,37.3,23,4.6,6.9,4.6,2.3,2.3,4.6,25.3,2,253,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048480,NA,nfl,regular,2024,season,1723449048480,11605,NE,rotowire,NA,
9998,https://api.sleeper.com/projections/nfl/player/9998?season_type=regular&season=2024,NA,343.9,999,257.6,388.8,699,388.8,485.2,512.8,613.8,999,485.2,NA,NA,18,13.28,13.28,13.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2.6,NA,26,NA,NA,63.33,NA,30,19,19.2,1,1,192,NA,NA,proj,1723449060011,NA,nfl,regular,2024,season,1723449060011,9998,DET,rotowire,NA,
