sleeper_id,projection_url,player_data-date,adp_2qb,adp_dynasty,adp_dynasty_2qb,adp_dynasty_half_ppr,adp_dynasty_ppr,adp_dynasty_std,adp_half_ppr,adp_idp,adp_ppr,adp_rookie,adp_std,bonus_rec_rb,fum_lost,gp,pts_half_ppr,pts_ppr,pts_std,rec,rec_0_4,rec_10_19,rec_20_29,rec_30_39,rec_40p,rec_5_9,rec_fd,rec_td,rec_yd,rush_2pt,rush_att,rush_fd,rush_td,rush_yd,bonus_rec_wr,bonus_rec_te,cmp_pct,pass_2pt,pass_att,pass_cmp,pass_fd,pass_int,pass_td,pass_yd,def_kr_td,pr_td,player_data-category,player_data-last_modified,player_data-week,player_data-season,player_data-season_type,player_data-sport,player_data-game_id,player_data-player_id,player_data-updated_at,player_data-team,player_data-company,player_data-opponent,player_data-player
4034,https://api.sleeper.com/projections/nfl/player/4034?season_type=regular&season=2024,NA,2.8,999,15.4,6.5,4.8,6.5,2.3,4.8,2.5,999,2.3,68,2,18,298.6,332.6,264.6,68,13.6,20.4,13.6,6.8,6.8,13.6,53.7,4,537,1,256,122.9,11,1229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724140230896,NA,2024,regular,nfl,season,4034,1724140230896,SF,rotowire,NA,
6786,https://api.sleeper.com/projections/nfl/player/6786?season_type=regular&season=2024,NA,5.1,999,7.3,2.4,2.6,2.4,1.5,5.9,1.3,999,1.5,NA,1,18,262.4,319.9,204.9,115,23,34.5,23,11.5,11.5,23,145.5,8,1455,NA,12,7.4,1,74,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724140236182,NA,2024,regular,nfl,season,6786,1724140236182,DAL,rotowire,NA,
3321,https://api.sleeper.com/projections/nfl/player/3321?season_type=regular&season=2024,NA,6.1,999,22,10.2,9,10.2,3.1,12.3,3.3,999,3.1,NA,1,18,267.4,323.4,211.4,112,22.4,33.6,22.4,11.2,11.2,22.4,155.8,9,1558,NA,5,3.6,NA,36,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724140230226,NA,2024,regular,nfl,season,3321,1724140230226,MIA,rotowire,NA,
6794,https://api.sleeper.com/projections/nfl/player/6794?season_type=regular&season=2024,NA,9.7,999,5.8,1.7,1.6,1.7,4.4,3.4,4.3,999,4.4,NA,1,18,236.4,288.9,183.9,105,21,31.5,21,10.5,10.5,21,142.7,7,1427,NA,2,1.2,NA,12,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724140236199,NA,2024,regular,nfl,season,6794,1724140236199,MIN,rotowire,NA,
7564,https://api.sleeper.com/projections/nfl/player/7564?season_type=regular&season=2024,NA,10.5,999,8,3.9,3.6,3.9,5.5,7.8,5.9,999,5.5,NA,1,18,236.8,289.3,184.3,105,21,31.5,21,10.5,10.5,21,136.7,8,1367,NA,3,1.6,NA,16,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724140237783,NA,2024,regular,nfl,season,7564,1724140237783,CIN,rotowire,NA,
9509,https://api.sleeper.com/projections/nfl/player/9509?season_type=regular&season=2024,NA,13.5,999,12.5,4.6,6.7,4.6,6.4,10.8,7.7,999,6.4,56,2,18,236.7,264.7,208.7,56,11.2,16.8,11.2,5.6,5.6,11.2,41.8,2,418,NA,247,110.9,8,1109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724140240935,NA,2024,regular,nfl,season,9509,1724140240935,ATL,rotowire,NA,
7547,https://api.sleeper.com/projections/nfl/player/7547?season_type=regular&season=2024,NA,11.1,999,10.2,5.9,5.2,5.9,7.7,9.5,6.9,999,7.7,NA,1,18,227.6,283.1,172.1,111,22.2,33.3,22.2,11.1,11.1,22.2,128.5,7,1285,NA,6,3.6,NA,36,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724140237753,NA,2024,regular,nfl,season,7547,1724140237753,DET,rotowire,NA,
8155,https://api.sleeper.com/projections/nfl/player/8155?season_type=regular&season=2024,NA,12.3,999,16,7.3,7.2,7.3,7.5,13.6,7.1,999,7.5,55,2,18,254.7,282.2,227.2,55,11,16.5,11,5.5,5.5,11,40.8,2,408,1,270,122.4,9,1224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724140239091,NA,2024,regular,nfl,season,8155,1724140239091,NYJ,rotowire,NA,
5859,https://api.sleeper.com/projections/nfl/player/5859?season_type=regular&season=2024,NA,15.2,999,23.8,13.9,13.5,13.9,9.5,15.4,9.9,999,9.5,NA,1,18,223,267,179,88,17.6,26.4,17.6,8.8,8.8,17.6,132.4,8,1324,NA,1,0.6,NA,6,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724140234315,NA,2024,regular,nfl,season,5859,1724140234315,PHI,rotowire,NA,
9493,https://api.sleeper.com/projections/nfl/player/9493?season_type=regular&season=2024,NA,17.7,999,20.2,11.3,11.2,11.3,15,17.2,17.3,999,15,NA,1,18,213.2,259.2,167.2,92,18.4,27.6,18.4,9.2,9.2,18.4,123.1,7,1231,NA,8,4.1,NA,41,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724140240893,NA,2024,regular,nfl,season,9493,1724140240893,LAR,rotowire,NA,
